,Open,High,Low,Close,Adj Close,Volume,Google Searches,isPartial,Price Difference
2021-04-01,193.36000061035156,196.97000122070312,183.60000610351562,191.4499969482422,191.4499969482422,9334300,72,False,1.910003662109375
2021-04-05,171.0,195.0,164.80999755859375,186.9499969482422,186.9499969482422,14070500,67,False,-15.949996948242188
2021-04-06,185.2100067138672,192.0,183.55999755859375,184.5,184.5,6218300,59,False,0.7100067138671875
2021-04-07,183.22000122070312,184.5,176.11000061035156,177.97000122070312,177.97000122070312,4768300,52,False,5.25
2021-04-08,185.8800048828125,185.8800048828125,164.3000030517578,170.25999450683594,170.25999450683594,10047400,53,False,15.620010375976562
2021-04-09,169.6999969482422,171.5800018310547,153.0,158.36000061035156,158.36000061035156,9462400,51,False,11.339996337890625
2021-04-12,158.11000061035156,163.89999389648438,135.00999450683594,141.08999633789062,141.08999633789062,16683600,54,False,17.020004272460938
2021-04-13,141.8800048828125,145.3800048828125,132.0,140.99000549316406,140.99000549316406,6806900,55,False,0.8899993896484375
2021-04-14,143.57000732421875,174.08999633789062,143.0,166.52999877929688,166.52999877929688,21138100,67,False,-22.959991455078125
2021-04-15,163.0,166.25,152.8000030517578,156.44000244140625,156.44000244140625,7856800,54,False,6.55999755859375
2021-04-16,156.0,160.1999969482422,151.25,154.69000244140625,154.69000244140625,5214700,58,False,1.30999755859375
2021-04-19,171.8000030517578,175.1999969482422,162.3300018310547,164.3699951171875,164.3699951171875,10520200,57,False,7.4300079345703125
2021-04-20,164.13999938964844,164.88999938964844,153.36000061035156,158.52999877929688,158.52999877929688,4658600,47,False,5.6100006103515625
2021-04-21,158.39999389648438,162.97999572753906,155.9199981689453,158.50999450683594,158.50999450683594,3812800,46,False,-0.1100006103515625
2021-04-22,159.10000610351562,159.10000610351562,146.86000061035156,151.1699981689453,151.1699981689453,4345800,40,False,7.9300079345703125
2021-04-23,149.0,153.66000366210938,144.6999969482422,151.17999267578125,151.17999267578125,4029100,37,False,-2.17999267578125
2021-04-26,150.97999572753906,174.67999267578125,148.75999450683594,168.92999267578125,168.92999267578125,10532100,52,False,-17.949996948242188
2021-04-27,183.5500030517578,188.0,173.1699981689453,177.77000427246094,177.77000427246094,8932700,72,False,5.779998779296875
2021-04-28,172.10000610351562,181.97999572753906,166.02999877929688,178.5800018310547,178.5800018310547,5788900,45,False,-6.4799957275390625
2021-04-29,176.55999755859375,180.86000061035156,170.75,176.19000244140625,176.19000244140625,3760300,42,False,0.3699951171875
2021-04-30,175.0,183.8000030517578,172.6999969482422,173.58999633789062,173.58999633789062,4433600,37,False,1.410003662109375
2021-05-03,177.49000549316406,177.49000549316406,159.61000061035156,162.1999969482422,162.1999969482422,5261000,39,False,15.290008544921875
2021-05-04,159.0,161.49000549316406,151.8000030517578,160.72999572753906,160.72999572753906,4007500,38,False,-1.7299957275390625
2021-05-05,161.8300018310547,165.5,158.3300018310547,159.47999572753906,159.47999572753906,2805400,34,False,2.350006103515625
2021-05-06,160.86000061035156,164.72000122070312,155.60000610351562,161.00999450683594,161.00999450683594,2942800,37,False,-0.149993896484375
2021-05-07,160.11000061035156,167.41000366210938,157.5,161.11000061035156,161.11000061035156,2934600,33,False,-1.0
2021-05-10,161.30999755859375,161.58999633789062,143.0,143.22000122070312,143.22000122070312,4806700,33,False,18.089996337890625
2021-05-11,137.0,150.5,136.5,146.9199981689453,146.9199981689453,4684600,39,False,-9.919998168945312
2021-05-12,145.6999969482422,150.5,142.22999572753906,144.7899932861328,144.7899932861328,2731500,33,False,0.910003662109375
2021-05-13,147.44000244140625,169.9499969482422,146.42999267578125,164.5,164.5,8873500,42,False,-17.05999755859375
2021-05-14,160.0,166.47000122070312,156.22000122070312,159.9199981689453,159.9199981689453,4293500,37,False,0.0800018310546875
2021-05-17,159.85000610351562,182.5,159.0,180.60000610351562,180.60000610351562,7462100,40,False,-20.75
2021-05-18,174.5399932861328,189.1999969482422,168.27000427246094,180.6699981689453,180.6699981689453,7738700,54,False,-6.1300048828125
2021-05-19,171.99000549316406,178.97999572753906,164.14999389648438,168.8300018310547,168.8300018310547,4825900,39,False,3.160003662109375
2021-05-20,170.7899932861328,174.91000366210938,166.89999389648438,170.49000549316406,170.49000549316406,2478200,33,False,0.29998779296875
2021-05-21,171.0,179.24000549316406,170.3300018310547,176.7899932861328,176.7899932861328,3654700,33,False,-5.7899932861328125
2021-05-24,175.85000610351562,188.4600067138672,173.35000610351562,180.00999450683594,180.00999450683594,4664300,39,False,-4.1599884033203125
2021-05-25,181.0,217.11000061035156,181.0,209.42999267578125,209.42999267578125,14887500,64,False,-28.42999267578125
2021-05-26,229.0,248.47999572753906,225.5500030517578,242.55999755859375,242.55999755859375,21119900,96,False,-13.55999755859375
2021-05-27,229.8000030517578,264.0,227.0,254.1300048828125,254.1300048828125,15526300,83,False,-24.330001831054688
2021-05-28,262.9700012207031,268.79998779296875,221.42999267578125,222.0,222.0,11751400,79,False,40.970001220703125
2021-06-01,233.47999572753906,254.97999572753906,227.07000732421875,249.02000427246094,249.02000427246094,9625600,59,False,-15.540008544921875
2021-06-02,248.8800048828125,294.0,244.3000030517578,282.239990234375,282.239990234375,16019200,89,False,-33.3599853515625
2021-06-03,265.7099914550781,274.42999267578125,242.1199951171875,258.17999267578125,258.17999267578125,8000000,84,False,7.529998779296875
2021-06-04,256.0199890136719,265.0,245.77000427246094,248.36000061035156,248.36000061035156,3637500,56,False,7.6599884033203125
2021-06-07,258.0,282.0,255.1999969482422,280.010009765625,280.010009765625,6051500,51,False,-22.010009765625
2021-06-08,292.0,344.6600036621094,281.0,300.0,300.0,17439100,85,False,-8.0
2021-06-09,303.1199951171875,328.0,291.510009765625,302.55999755859375,302.55999755859375,13429300,100,False,0.55999755859375
2021-06-10,282.0,288.0,211.0,220.38999938964844,220.38999938964844,22980200,89,False,61.61000061035156
2021-06-11,222.35000610351562,241.1300048828125,206.1300048828125,233.33999633789062,233.33999633789062,15580800,62,False,-10.989990234375
2021-06-14,236.5,238.00999450683594,219.1999969482422,229.44000244140625,229.44000244140625,7132600,47,False,7.05999755859375
2021-06-15,226.36000061035156,229.25,208.0,222.5,222.5,7301900,45,False,3.8600006103515625
2021-06-16,215.24000549316406,228.72999572753906,209.0,222.97000122070312,222.97000122070312,5564800,41,False,-7.7299957275390625
2021-06-17,224.0,233.66000366210938,221.47999572753906,223.58999633789062,223.58999633789062,4608600,41,False,0.410003662109375
2021-06-18,220.17999267578125,223.49000549316406,213.0,213.82000732421875,213.82000732421875,4320300,33,False,6.3599853515625
2021-06-21,216.9499969482422,218.39999389648438,197.0,200.3699951171875,200.3699951171875,5120200,36,False,16.580001831054688
2021-06-22,217.72999572753906,225.8800048828125,209.1699981689453,220.39999389648438,220.39999389648438,8200200,45,False,-2.6699981689453125
2021-06-23,221.4499969482422,222.57000732421875,214.1199951171875,219.33999633789062,219.33999633789062,3555100,43,False,2.1100006103515625
2021-06-24,221.16000366210938,227.4499969482422,211.60000610351562,212.30999755859375,212.30999755859375,3863300,36,False,8.850006103515625
2021-06-25,214.0,214.1999969482422,198.5,209.50999450683594,209.50999450683594,12692700,33,False,4.4900054931640625
2021-06-28,211.25,224.4499969482422,210.1999969482422,213.25,213.25,4879400,33,False,-2.0
2021-06-29,213.58999633789062,215.22000122070312,208.00999450683594,210.8800048828125,210.8800048828125,2480000,32,False,2.709991455078125
